Federative_Unit,NM_MUN,Lula_votes,Lula_per,Jair_votes,Jair_per
Amazonas,Uarini,4087,67.86,1936,32.14
Amazonas,Urucará,6317,76.8,1908,23.2
Amazonas,Urucurituba,7073,79.39,1836,20.61
Bahia,Abaíra,3282,64.13,1836,35.87
Bahia,Abaré,8936,77.56,2586,22.44
Bahia,Acajutiba,6812,79.21,1788,20.79
Bahia,Adustina,7694,83.12,1562,16.88
Bahia,Água Fria,7361,82.05,1610,17.95
Bahia,Aiquara,2254,75.82,719,24.18
Bahia,Alagoinhas,59147,69.4,26077,30.6
Bahia,Alcobaça,8986,70.8,3706,29.2
Bahia,Almadina,2767,79.81,700,20.19
Bahia,Amargosa,14755,68.84,6678,31.16
Bahia,Amélia Rodrigues,11878,80.27,2919,19.73
Bahia,América Dourada,8303,84.29,1547,15.71
Bahia,Anagé,11104,78.86,2977,21.14
Bahia,Andaraí,6423,86.52,1001,13.48
Bahia,Andorinha,8929,90.26,963,9.74
Bahia,Angical,7728,78.66,2096,21.34
Bahia,Anguera,5963,84.1,1127,15.9
Bahia,Antas,5682,69.52,2491,30.48
Bahia,Antônio Cardoso,8224,89.67,947,10.33
Bahia,Antônio Gonçalves,5044,77.78,1441,22.22
Bahia,Aporá,7891,79.23,2069,20.77
Bahia,Apuarema,3256,72.87,1212,27.13
Bahia,Araçás,6202,80.24,1527,19.76
Bahia,Aracatu,7868,80.07,1958,19.93
Bahia,Araci,24379,85.29,4206,14.71
Bahia,Aramari,5922,85.45,1008,14.55
Bahia,Arataca,2988,70.74,1236,29.26
Bahia,Aratuípe,5141,81.46,1170,18.54
Bahia,Aurelino Leal,5114,74.78,1725,25.22
Bahia,Baianópolis,6851,74.57,2336,25.43
Bahia,Baixa Grande,7723,71.6,3064,28.4
Bahia,Banzaê,6232,78.56,1701,21.44
Bahia,Barra,21803,82.23,4713,17.77
Bahia,Barra Da Estiva,12085,75.55,3910,24.45
Bahia,Barra Do Choça,16805,79.03,4459,20.97
Bahia,Barra Do Mendes,8585,90.1,943,9.9
Bahia,Barra Do Rocha,1974,67.21,963,32.79
Bahia,Barreiras,50058,59.47,34122,40.53
Bahia,Barro Alto,6957,82.27,1499,17.73
Bahia,Barro Preto,3085,73.89,1090,26.11
Bahia,Barrocas,9090,84.63,1651,15.37
Bahia,Belmonte,7681,70.29,3247,29.71
Bahia,Belo Campo,9013,76.92,2704,23.08
Bahia,Biritinga,8156,87.47,1168,12.53
Bahia,Boa Nova,7414,86.34,1173,13.66
Bahia,Boa Vista Do Tupim,7452,72.38,2843,27.62
Bahia,Bom Jesus Da Lapa,28716,78.12,8045,21.88
Bahia,Bom Jesus Da Serra,5690,88.04,773,11.96
Bahia,Boninal,5634,72.21,2168,27.79
Bahia,Bonito,7718,83.08,1572,16.92
Bahia,Boquira,11154,91.61,1022,8.39
Bahia,Botuporã,5790,83.6,1136,16.4
Bahia,Brejões,5859,74.44,2012,25.56
Bahia,Brejolândia,4290,73.05,1583,26.95
Bahia,Brotas De Macaúbas,5405,77.87,1536,22.13
Bahia,Brumado,28845,69.62,12589,30.38
Bahia,Buerarema,3581,40.36,5292,59.64
Bahia,Buritirama,8773,79.04,2326,20.96
Bahia,Caatiba,3047,69.25,1353,30.75
Bahia,Cabaceiras Do Paraguaçu,8710,85.45,1483,14.55
Bahia,Cachoeira,16132,83.46,3197,16.54
Bahia,Caculé,9887,71.76,3890,28.24
Bahia,Caem,5077,84.41,938,15.59
Bahia,Caetanos,6863,89.32,821,10.68
Bahia,Caetité,26820,79.95,6728,20.05
Bahia,Cafarnaum,8225,75.33,2694,24.67
Bahia,Cairu,6798,65.76,3539,34.24
Bahia,Caldeirão Grande,5815,75.23,1915,24.77
Bahia,Camacã,7823,60.56,5094,39.44
Bahia,Camaçari,101063,67.21,49304,32.79
Bahia,Camamu,11332,66.59,5685,33.41
Bahia,Campo Alegre De Lourdes,14756,84.53,2701,15.47
Bahia,Campo Formoso,30504,71.25,12308,28.75
Bahia,Canápolis,5389,81.61,1214,18.39
Bahia,Canarana,12445,80.52,3010,19.48
Bahia,Canavieiras,11217,65.45,5922,34.55
Bahia,Candeal,4718,79.49,1217,20.51
Bahia,Candeias,41547,82.26,8957,17.74
Bahia,Candiba,6752,77.99,1905,22.01
Bahia,Cândido Sales,10894,73.74,3879,26.26
Bahia,Cansanção,19128,86.06,3099,13.94
Bahia,Canudos,8166,84.43,1506,15.57
Bahia,Capela Do Alto Alegre,5318,76.03,1677,23.97
Bahia,Capim Grosso,11947,66.32,6067,33.68
Bahia,Caraíbas,4883,78.05,1373,21.95
Bahia,Caravelas,7758,67.76,3691,32.24
Bahia,Cardeal Da Silva,4812,89.38,572,10.62
Bahia,Carinhanha,11413,67.6,5471,32.4
Bahia,Casa Nova,35561,80.02,8878,19.98
Bahia,Castro Alves,14103,82.47,2997,17.53
Bahia,Catolândia,2477,79.24,649,20.76
Bahia,Catu,24643,78.66,6684,21.34
Bahia,Caturama,4643,85.97,758,14.03
Bahia,Central,8362,80.78,1989,19.22
Bahia,Chorrochó,5672,86.23,906,13.77
Bahia,Cícero Dantas,15165,77.37,4436,22.63
Bahia,Cipó,6989,69.5,3067,30.5
Bahia,Coaraci,7591,66.83,3767,33.17
Bahia,Cocos,8154,69.73,3540,30.27
Bahia,Conceição Da Feira,10810,79.8,2737,20.2
Bahia,Conceição Do Almeida,9761,83.65,1908,16.35
Bahia,Conceição Do Coité,26911,63.66,15364,36.34
Bahia,Conceição Do Jacuípe,15353,73.43,5555,26.57
Bahia,Conde,10753,79.35,2798,20.65
Bahia,Condeúba,7734,71.44,3092,28.56
Bahia,Contendas Do Sincorá,2516,78.09,706,21.91
Bahia,Coração De Maria,13993,82.74,2918,17.26
Bahia,Cordeiros,3218,65.83,1670,34.17
Bahia,Coribe,6904,75.7,2216,24.3
Bahia,Coronel João Sá,8837,81.51,2005,18.49
Bahia,Correntina,14974,75.31,4910,24.69
Bahia,Cotegipe,7060,80.75,1683,19.25
Bahia,Cravolândia,2467,84.4,456,15.6
Bahia,Crisópolis,10318,85.54,1744,14.46
Bahia,Cristópolis,6996,75.87,2225,24.13
Bahia,Cruz Das Almas,26835,69.52,11766,30.48
